title,category,date,download_url,download_title
General Release Regarding Receipt of the Revised Fiscal Plans,General Release,2018-01-25 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a69adb93dcb5.pdf,General Release Regarding Receipt of the Revised Fiscal Plans.pdf
General Release Announcing Additional Public Comment Period for CPP Projects,General Release,2018-01-24 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a690f48694e6.pdf,General Release Announcing Additional Public Comment Period for CPP Projects.pdf
Letter to Congressman Luis Guitiérrez,Document,2018-01-24 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a690f2219943.pdf,Letter to Congressman Luis Guitiérrez.pdf
General Release Announcing the PREPA Listening Session,General Release,2018-01-23 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a679e2013959.pdf,General Release Announcing the PREPA Listening Session.pdf
AAFAF - Bank Account Balances for the Government of Puerto Rico and its Instrumentalities,Document,2018-01-19 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a62601e02956.pdf,AAFAF - Bank Account Balances for the Government of Puerto Rico and its Instrumentalities.pdf
General Release Regarding the Closing of the Bank Accounts Public Hearing,General Release,2018-01-19 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a621243a45d4.pdf,General Release Regarding the Closing of the Bank Accounts Public Hearing.pdf
Media and General Public Advisory Regarding Public Hearing to Discuss the Government of Puerto Rico Liquidity,General Release,2018-01-17 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a5fa7e7b6934.pdf,Media and General Public Advisory Regarding Public Hearing to Discuss the Government of Puerto Rico Liquidity.pdf
FOMB - Letter to Governor - Emergency Municipalities Assistance Act - 01.10.2018,Document,2018-01-11 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a57795d2c59f.pdf,FOMB - Letter to Governor - Emergency Municipalities Assistance Act - 01.10.2018.pdf
FOMB - Letter to Governor and Legislature re Act 119 - 01.11.2018,Document,2018-01-11 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a57795ccb604.pdf,FOMB - Letter to Governor and Legislature re Act 119 - 01.11.2018.pdf
General Release Regarding Official Notification to Governor Rosselló of New Due Date for the Delivery of Revised Fiscal Plans,General Release,2018-01-10 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a56bac7b256f.pdf,General Release Regarding Official Notification to Governor Rosselló of New Due Date for the Delivery of Revised Fiscal Plans.pdf
Letter to Governor Ricardo Rosselló with Official Notification of New Due Date for the Delivery of the Revised Fiscal Plans,Document,2018-01-10 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a56ba9f207ca.pdf,Letter to Governor Ricardo Rosselló with Official Notification of New Due Date for the Delivery of the Revised Fiscal Plans.pdf
General Release Regarding Public Comment Period for Projects Being Considered Under PROMESA's Title V Critical Projects Process,General Release,2018-01-08 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a539b3136233.pdf,General Release Regarding Public Comment Period for Projects Being Considered Under PROMESA's Title V Critical Projects Process.pdf
FOMB - Liquidity Presentation During the 11th Board Public Meeting (Corrected),Document,2018-01-05 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a4fb20306ddf.pdf,FOMB - Liquidity Presentation During the 11th Board Public Meeting (Corrected).pdf
